coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Switchback Railway,600 ft (180 m),Coney Island,Removed,LaMarcus Adna Thompson,,Lift Packed,gravity,,,Coney Island Cyclone Site,1:00,1600 riders per hour,LaMarcus Adna Thompson,30°,43 ft (13 m),,,,Gravity pulled coaster,,,,,,,,,,,,,,,1884,40.574,-73.978,Wood,1884-06-16,6 mph ,9.7 km/h,6,mph,6,50,ft,,0,2.9
Flip Flap Railway,,Sea Lion Park,Removed,Lina Beecher,,,,,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,,,,Lina Beecher,,,,,,,,1902,,,,,,,,,,,,,1895,40.578,-73.979,Wood,1895-01-01,,,,,,,,,1,12
Switchback Railway (Euclid Beach Park),,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1896,41.58,-81.57,Other,,,,,,,,,,0,
Loop the Loop (Coney Island),,Other,Removed,Edwin Prescott,,,,,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,Edward A. Green,,,,,Switchback Railway,,,1910,,Giant Racer,,,,,,,,,,,1901,40.5745,-73.978,Steel,1/1/1901,,,,,,,,,1,
Loop the Loop (Young's Pier),,Other,Removed,Edwin Prescott,,,,,,,,,Edward A. Green,,,,,,,,1912,,,,,,,,,,,,,1901,39.3538,-74.4342,Steel,1/1/1901,,,,,,,,,1,
Cannon Coaster,,Coney Island,Removed,George Francis Meyer,,,,,,,,,,,,,,,,,1907,,,,,,,,,,,,,1902,40.575,-73.98,Wood,1/1/1902,,,,,,40,ft,,0,
Leap-The-Dips,"1,452 ft (443 m)",Lakemont Park,Operating,Federal Construction Company,,,,,,,1:00,,Edward Joy Morris,25°,9 ft (2.7 m),,,,,,,,,,,,,,,,,,,1902,,,Wood,1/1/1902,10 mph ,16 km/h,10,mph,10,41,ft,,0,
Figure Eight (Euclid Beach Park),,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1904,41.58,-81.57,Other,,,,,,,,,,0,
Drop the Dip,,Coney Island,Removed,Arthur Jarvis,,,,,,,1 minute 30 seconds,,"Christopher Feucht, Welcome Mosley",,,,,,,,1930s,,,,,,,,,,,,,1907,40.5744,-73.9786,Other,6/6/1907,,,,,,60,ft,,0,
Scenic Railway (Euclid Beach Park),,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1907,41.58,-81.57,Other,,,,,,,,,,0,
Loop the Loop (Olentangy Park),,Olentangy Park,Removed,Lina Beecher,,,,,,,,,Lina Beecher,,,,,,,,,,,,,,,,,,,,,1908,40.0204,-83.0143,Steel,1/1/1908,,,,,,,,,1,
Aero Dips,,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1909,41.58,-81.57,Other,,,,,,,,,,0,
Backety-Back Scenic Railway,,Crystal Beach,Removed,,,,,"$50,000 ",2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,John H. Brown,,,,,,,,1926,,,,,,,,,,,,,1909,42.8675,-79.0592,Wood,1/1/1909,10 mph ,16 km/h,10,mph,10,,,,0,
Racer (1910 roller coaster),"4,500 ft (1,400 m)",Kennywood,Operating,Charlie Mach,46 in (117 cm),Racing,Chain lift,"$75,000 ",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,1910,40.3869,-79.8619,Wood,1/1/1927,40 mph ,64 km/h,40,mph,40,72.5,ft,,0,
Derby Racer,,Revere Beach,Removed,Fred W. Pearce,,,,"$140,000 ",,,,,,,,,,,Figure Eight,,1936,,,,,,,,,,,,,1911,42.42,-70.986,Wood,1/1/1911,,,,,,,,,0,
The Great Scenic Railway,"967 m (3,173 ft)",Luna Park Melbourne,Operating,LaMarcus Thompson,100 cm (3 ft 3 in),,Cable lift hill,,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,,,,,,,,,,,,,,,Official website,,,,,,,,,,1912,,,Wood,12/1/1912,60 km/h ,37 mph,60,km/h,37.3,16,m,52.5,0,
Zippin Pippin,"2,865 ft (873 m)",Other,,The Gravity Group,48 in (122 cm),Wooden Coaster,Chain lift hill,,,,1:58,,John A. Miller,64°,70 ft (21 m),,,,Martin & Vleminckx,,2005,,,,,,,,,,,,,1912,,,Wood,,40 mph ,64 km/h,40,mph,40,70,ft,,0,
Racing Coaster,,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1913,41.58,-81.57,Other,,,,,,,,,,0,
Whirl Pool Dips,,Tolchester Beach Park,Removed,,,,,"$50,000 ",,,,,,,,,,,,,1959,,,,,,,,,,,,,1913,39.214,-76.231,Wood,1/1/1913,,,,,,,,,0,
Green Dragon (Lake Compounce),,Lake Compounce,Removed,,,,Chain,,,,,,"Bowen, Moore",,,,,,,,1926,,Wildcat,,,,,,,,,,,1914,41.642,-72.923,Wood,1/1/1914,,,,,,,,,0,
The Wild One (roller coaster),"4,000 ft (1,200 m)",Six Flags America,,Dinn Corporation,48 in (122 cm),,,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,Mardi Gras,1:52,,John A. MillerHerbert Schmeck,,88 ft (27 m),,,,,,1984,,,,Flash Pass Available,,,,,,,,,1917,38.9092,-76.7725,Wood,,53 mph ,85 km/h,53,mph,53,98,ft,,0,
Jack Rabbit (Clementon Park),"1,380 ft (420 m)",Clementon Park,Removed,Philadelphia Toboggan Coasters,,Wooden,chain lift hill,,,,,,John A. Miller,,50 ft (15 m),,,,,,2002,,,,,,,,,,,,,1919,39.8041,-74.9844,Wood,1/1/1919,,,,,,50,ft,,0,
Jack Rabbit (Kennywood),"2,132 ft (650 m)",Kennywood,Operating,Harry C. Baker,42 in (107 cm),,Chain lift hill,"$50,000 USD",3 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,,1:36,,John A. Miller,45°,70 ft (21 m),,,,"Terrain, Out and Back roller coaster",,,,,,,,,,,,,,,1920,40.3867,-79.8628,Wood,1/1/1920,45 mph ,72 km/h,45,mph,45,40,ft,,0,
Jack Rabbit (Seabreeze),"2,130 ft (650 m)",Seabreeze Amusement Park,Operating,Harry C. Baker,48 in (122 cm),,chain,,,,,,John A. Miller,52°,,,,,"Terrain, Out and Back",,,,,,,,,,,,,,,1920,43.2316,-77.5432,Wood,1/1/1920,42 mph ,68 km/h,42,mph,42,75,ft,,0,
Scenic Railway (roller coaster),"3,000 ft (910 m)",Dreamland Margate,Operating,,,Scenic Railway,Cable (two lifts),,,,,,,,40 ft (12 m),,,,,,,,,,,,,,,,,,,1920,51.3853,1.3775,Wood,7/3/1920,35 mph ,56 km/h,35,mph,35,40,ft,,0,
Roller Coaster (Lagoon),"762 m (2,500 ft)",Lagoon Amusement Park,Operating,,46 in (117 cm),,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,,,John A. Miller,,,,,,Double Out and Back,,,,,,,,,,,,,,,1921,40.9849,-111.8951,Wood,7/15/1921,45 mph ,72 km/h,45,mph,45,18.9,m,62,0,
Big Dipper (Blackpool Pleasure Beach),"3,300 ft (1,000 m)",Blackpool Pleasure Beach,Operating,William Strickler,46 in (117 cm),Wooden Out and back coaster,Chain,"£25,000 (1922)",2 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,2:28,,John A. Miller,46°,50 ft (15 m),,,,Out and back,,,,,,,,,,,,,,,1923,53.7892,-3.0569,Wood,8/23/1923,40 mph ,64 km/h,40,mph,40,65,ft,,0,3.7
Wild Cat (Hersheypark),"2,331 ft (710 m)",Hersheypark,Removed,Philadelphia Toboggan Coasters,,,Chain lift hill,"$50,000 ",3 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,,,,Herbert Schmeck,,75 ft (23 m),,,,Out and Back,,"September 9, 1945",,,,,,,,,,,,,1923,40.2882,-76.6535,Wood,6/16/1923,,,,,,,,,0,
The Bobs (roller coaster),"3,235 ft (986 m)",Riverview Park,Removed,Prior and Church,,,Chain lift hill,,,,,,Fred Church,,59.58 ft (18.16 m),,,,,,1967,,,,,,,,,,,,,1924,41.9407,-87.6924,Wood,1/1/1924,50 mph ,80 km/h,50,mph,50,64.75,ft,,0,
Giant Dipper,"2,640 ft (800 m)",Santa Cruz Beach Boardwalk,Operating,Arthur Looff,50 in (127 cm),,Chain lift hill,"$50,000 ",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:52,,"Frank Prior, Frederick Church",,65 ft (20 m),,,,Double Out and Back,,,,,,,,,,,,,,,1924,36.9647,-122.0153,Wood,5/17/1924,55 mph ,89 km/h,55,mph,55,70,ft,,0,
Pippin (roller coaster),"3,250 ft (990 m)",Kennywood,Operating,,52 in (132 cm),,Chain lift hill,,3 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:41,,Andy Vettel (1968)John A. Miller (1924),,90 ft (27 m),,,Pippin,Terrain,,,,,Official website,,,,,,,,,,1924,40.3889,-79.865,Wood,1/1/1968,55 mph ,89 km/h,55,mph,55,70,ft,,0,
The Thriller (roller coaster),,"Cleveland, Ohio, United States",Closed,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,1924,41.58,-81.57,Other,,,,,,,,,,0,
Thunderhawk (Dorney Park),"2,767 ft (843 m)",Dorney Park & Wildwater Kingdom,Operating,Philadelphia Toboggan Coasters,48 in (122 cm),,Chain lift hill,,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:18,,Herbert Paul Schmeck,45°,65 ft (20 m),,Fast Lane available,,Out and Back / Twister,,,,,,,,,,,,,,,1924,40.5798,-75.5355,Wood,3/30/1924,45 mph ,72 km/h,45,mph,45,80,ft,,0,
Big Dipper (Geauga Lake),"2,680 ft (820 m)",Geauga Lake,Removed,,48 in (122 cm),Out and Back roller coaster,Chain lift hill,"USD$50,000",2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:45,,John A. Miller,,,,,,,,"September 16, 2007",,,,,,,,,,,,,1925,41.3491,-81.378,Wood,1/1/1925,32 mph ,51 km/h,32,mph,32,65,ft,,0,
Cyclone (Revere Beach),"3,600 ft (1,100 m)",Revere Beach,Removed,Traver Engineering,,,,"$125,000 ",,,,1400 riders per hour,Frederick Church,,,,,,,,1969,,,,,,,,,,,,,1925,42.42,-70.986,Wood,1/1/1925,45 mph ,72 km/h,45,mph,45,100,ft,,0,
Giant Dipper (Belmont Park),"2,600 ft (790 m)",Other,Operating,"Frank Prior, Fredrick Church",50 in (127 cm),Twister,Chain lift hill,,,,1:45,,"Frank Prior, Fredrick Church",40 degrees at bottom of first drop°,60 ft (18 m),,,,"8 layers laminated wood strips with 1/4""x3"" wide steel rail",,,,,,,,,,,,,,,1925,,,Wood,7/4/1925,48 mph ,77 km/h,48,mph,48,70,ft,,0,
Jazz Railway,"1,200 ft (370 m)",Rocky Glen Park,Removed,Traver Engineering,,,Chain-lift,"less than $20,000",3 cars. Riders are arranged 2 across in a single row for a total of 6 riders per train.,,1 minute 30 seconds,,Harry G. Traver,,,,,,,,1927,,,,,,,,,,,,,1925,41.3533,-75.7059,Wood,1/1/1925,,,,,,26,ft,,0,
